,name,degree,betweenness,closeness,sum
7023,lewisupremacist,0.0011020295711268251,0.0,0.0011020295711268253,0.0022040591422536502
7180,Mr_JJackson,0.0011020295711268251,0.0,0.0011020295711268253,0.0022040591422536502
7829,tarmactorque,0.0009183579759390211,7.464610660415445e-07,0.0011496481328421818,0.002068752569847244
7904,silverstorm74,0.001928551749471944,2.1705007268703287e-07,0.00012244773012520278,0.002051216529669834
7218,f1miami,0.0010101937735329232,0.0,0.0010101937735329232,0.0020203875470658464
7398,Carlossainz55,0.0010101937735329232,0.0,0.0010101937735329232,0.0020203875470658464
7640,ryanpber,0.0010101937735329232,0.0,0.0010101937735329232,0.0020203875470658464
8268,trendyvendee,0.0020203875470658464,0.0,0.0,0.0020203875470658464
7710,Treacle34920601,0.0010101937735329232,0.0,0.0009918266140141426,0.002002020387547066
7064,Fr4zer24,0.0009183579759390211,0.0,0.0010221723558277798,0.0019405303317668009
9745,Kueenie_Ara,0.001928551749471944,0.0,0.0,0.001928551749471944
9127,peltzmann,0.001928551749471944,0.0,0.0,0.001928551749471944
6985,LozBarber30,0.0006428505831573147,2.8818176749249834e-07,0.001233615191559879,0.0018767539564846863
7264,aleksan30409461,0.0011020295711268251,4.540620043906193e-07,0.0007346863807512168,0.0018371700138824325
8267,AleefHamilton44,0.0009183579759390211,0.0,0.0009183579759390211,0.0018367159518780421
7169,_siiheem,0.0009183579759390211,0.0,0.0009183579759390211,0.0018367159518780421
7633,ESPNF1,0.0009183579759390211,0.0,0.0009183579759390211,0.0018367159518780421
7551,startonpole,0.0009183579759390211,0.0,0.0009183579759390211,0.0018367159518780421
7112,autosport,0.0009183579759390211,0.0,0.0009183579759390211,0.0018367159518780421
7642,rrocksteady,0.0018367159518780421,0.0,0.0,0.0018367159518780421
8081,LopesWallalves,0.0018367159518780421,0.0,0.0,0.0018367159518780421
8056,Kris_HK,0.0009183579759390211,0.0,0.0009183579759390211,0.0018367159518780421
7080,WhingerSpice,0.0009183579759390211,0.0,0.0009042293916938053,0.0018225873676328264
7564,2B19385375,0.0008265221783451189,1.2483190708943343e-06,0.0009829831668384337,0.001810753664254447
7370,GeorgeK_VII,0.0010101937735329232,5.7636353498499666e-08,0.0007652983132825176,0.0017755497231689392
7003,cfusionpm,0.0011938653687207272,3.9642565089211967e-07,0.0005510147855634127,0.0017452765799350319
7515,realScott_Free,0.0002755073927817063,0.0,0.0014693727615024336,0.00174488015428414
8856,jgsbennett,0.0008265221783451189,0.0,0.0009042293916938053,0.0017307515700389243
8192,bdotsenol,0.0005510147855634126,0.0,0.001112594751380991,0.0016636095369444036
7474,StillWeSendIt,0.0011020295711268251,4.83583063499607e-07,0.0005556065754431078,0.0016581197296334324
7579,vincenzolandino,0.0011020295711268251,1.5182258970336498e-07,0.0005510147855634127,0.0016531961792799412
8064,FormulaRacer420,0.0015612085590963358,1.0964964811909693e-07,9.18357975939021e-05,0.001653154006338357
7124,Secteur_F1,0.0008265221783451189,0.0,0.0008265221783451189,0.0016530443566902379
7131,JamesMcGavinF1,0.0008265221783451189,0.0,0.0008265221783451189,0.0016530443566902379
6990,MissedApexF1,0.0007346863807512168,0.0,0.0009073690770816311,0.001642055457832848
7744,ijmad,0.0006428505831573147,0.0,0.0009651107456231893,0.0016079613287805039
7743,dukewong,0.0006428505831573147,0.0,0.0009651107456231893,0.0016079613287805039
7139,cheeseaddict77,0.0011938653687207272,2.530376495056083e-07,0.0003749961735084336,0.0015691145798786665
9788,occor6464,0.0015612085590963358,0.0,0.0,0.0015612085590963358
7372,ShoNuff727,0.0015612085590963358,0.0,0.0,0.0015612085590963358
7594,CroftyF1,0.0002755073927817063,0.0,0.001252833617702075,0.0015283410104837813
9356,XaelTheArtist,0.0005510147855634126,0.0,0.0009564160542211786,0.0015074308397845912
8580,CurveTorque,0.0003673431903756084,0.0,0.0011330103221223586,0.001500353512497967
7731,MBrundleF1,0.0007346863807512168,0.0,0.0007652983132825176,0.0014999846940337343
8076,GayCars,0.0006428505831573147,0.0,0.0008561466291818615,0.0014989972123391761
8054,lowdonodwol,0.0007346863807512168,0.0,0.000740808767257477,0.0014754951480086937
7708,mazzaaaaF1,0.0008265221783451189,3.45818120990998e-07,0.0006428505831573147,0.0014697185796234246
7174,Joost70291212,0.0011020295711268251,9.910641272302992e-08,0.0003673431903756084,0.0014694718679151564
7009,LEGO_Group,0.0007346863807512168,0.0,0.0007346863807512168,0.0014693727615024336
7362,JaffeCards,0.0007346863807512168,0.0,0.0007346863807512168,0.0014693727615024336
7084,PontiacLSC70,0.0014693727615024336,0.0,0.0,0.0014693727615024336
7120,decalspotters,0.0007346863807512168,0.0,0.0007346863807512168,0.0014693727615024336
7464,iiiuminateandy,0.0007346863807512168,0.0,0.0007346863807512168,0.0014693727615024336
7788,iulian_andone,0.0014693727615024336,0.0,0.0,0.0014693727615024336
8070,CarolSaxelby,0.0006428505831573147,0.0,0.0008168552522826029,0.0014597058354399177
7565,brawngpf1team,0.0003673431903756084,0.0,0.0010819926698336102,0.0014493358602092185
7802,RayyLH44,0.0006428505831573147,0.0,0.0007779032266777591,0.0014207538098350739
7041,X44Racing,0.0010101937735329232,1.2651882475280414e-06,0.0003826491566412588,0.0013941081184217102
7595,SkySportsF12012,0.0001836715951878042,0.0,0.001196796298431171,0.0013804678936189753
7593,BrendanTeamLH,0.0001836715951878042,0.0,0.001196796298431171,0.0013804678936189753
7591,MRJHJoseph,0.0001836715951878042,0.0,0.001196796298431171,0.0013804678936189753
7296,OWildling,0.0006428505831573147,6.325941237640207e-07,0.0007346863807512168,0.0013781695580322956
7391,roman_wacho,0.0012857011663146294,1.3495341306965776e-07,9.18357975939021e-05,0.001377671917321601
7670,Carlos55YB,0.0010101937735329232,8.43458831685361e-08,0.0003673431903756084,0.0013776213097917
7171,iitsBreeezy,0.0010101937735329232,6.536805945561547e-08,0.0003673431903756084,0.0013776023319679873
7173,businesmanshade,0.0010101937735329232,6.536805945561547e-08,0.0003673431903756084,0.0013776023319679873
7172,fil3638,0.0010101937735329232,6.536805945561547e-08,0.0003673431903756084,0.0013776023319679873
7686,markyp69,0.0013775369639085315,0.0,0.0,0.0013775369639085315
